t,nmse_dm
23,0.25662100315093994
22,0.22535593807697296
21,0.1980256885290146
20,0.17444072663784027
19,0.15394045412540436
18,0.1361255943775177
17,0.1211426854133606
16,0.10872779786586761
15,0.09850414842367172
14,0.09016674757003784
13,0.08349598199129105
12,0.0782904401421547
11,0.07432905584573746
10,0.071391262114048
9,0.06929142773151398
8,0.06788197159767151
7,0.06702681630849838
6,0.06657484173774719
5,0.06647015362977982
4,0.06654147803783417
3,0.0667089894413948
2,0.06689966470003128
1,0.0669897124171257
0,0.06697634607553482
