t,nmse_dm
23,0.25653278827667236
22,0.2252807915210724
21,0.19796264171600342
20,0.17438875138759613
19,0.15389811992645264
18,0.1360916644334793
17,0.12111596763134003
16,0.10870722681283951
15,0.09848875552415848
14,0.09015560150146484
13,0.08348844945430756
12,0.07828596979379654
11,0.07432733476161957
10,0.07139211148023605
9,0.06929459422826767
8,0.06788709759712219
7,0.06703358143568039
6,0.06658314168453217
5,0.06647974997758865
4,0.06655251979827881
3,0.06672164797782898
2,0.06691405922174454
1,0.06700530648231506
0,0.06699194014072418
