t,nmse_dm
23,0.2562330961227417
22,0.22182603180408478
21,0.19104495644569397
20,0.1638987511396408
19,0.14024460315704346
18,0.1198667585849762
17,0.10254211723804474
16,0.08806275576353073
15,0.07622148096561432
14,0.06679722666740417
13,0.059546660631895065
12,0.05419153347611427
11,0.05050187557935715
10,0.04838468134403229
9,0.0476120300590992
8,0.04776069521903992
7,0.048498764634132385
6,0.04974081367254257
5,0.05102284997701645
4,0.051966454833745956
3,0.052635326981544495
2,0.05309806391596794
1,0.05334791913628578
0,0.0533716082572937
